Years;Months;ENEB
2007;4;119,5117659
2007;5;136,1456491
2007;6;147,3931722
2007;7;104,3725
2007;8;102,3185941
2007;9;56,22857143
2007;10;26,23026316
2007;11;14,87675926
2007;12;24,19614005
2008;1;36,87259458
2008;2;64,45978571
2008;3;183,7993498
2008;4;123,3484445
2008;5;200,6004274
2008;6;118,2529239
2008;7;141,6649828
2008;9;101,079179
2008;8;31,16748538
2008;11;21,52784314
2008;10;7,434509804
2008;12;34,71992325
2009;1;39,35036232
2009;2;85,1717069
2009;3;76,39436403
2009;4;151,9678985
2009;5;274,7536912
2009;6;149,5956746
2009;7;121,1627915
2009;8;136,3952608
2009;9;39,14266082
2009;10;19,48375
2009;11;19,49681579
2009;12;27,86461309
2010;1;81,69222264
2010;2;69,15228243
2010;3;70,28355159
2010;4;176,6345652
2010;5;87,0653125
2010;6;227,6309127
2010;7;124,2321429
2010;8;70,7913363
2010;9;63,37955026
2010;10;44,77031746
2010;11;26,02240741
2010;12;35,31556548
2011;1;91,65790904
2011;2;83,37136957
2011;3;90,37364583
2011;4;158,3233152
2011;5;229,4936458
2011;6;151,9737939
2011;7;156,178
2011;8;94,96577381
2011;9;48,90303839
2011;10;36,76083334
2011;11;46,51333333
2011;12;18,29414457
2012;1;50,6500151
2012;2;69,26452174
2012;3;48,78218202
2012;4;30,40039855
2012;5;83,64741395
2012;6;115,0675
2012;7;122,39675
2012;8;61,07723214
2012;9;46,74777778
2012;10;27,2189693
2012;11;11,68279506
2012;12;28,50789474
2013;1;50,38913043
2013;2;30,22313397
2013;3;34,00772917
2013;4;104,4677524
2013;5;109,2437645
2013;6;131,7601812
2013;7;151,8864783
2013;8;81,17802071
2013;9;49,66550242
2013;10;61,70498551
2013;11;34,24514493
2013;12;50,31942935
2014;1;30,2697246
2014;2;51,33023913
2014;3;62,3196032
2014;4;89,80711842
2014;5;177,1541544
2014;6;111,3470605
2014;7;127,5407854
2014;8;67,25964202
2014;9;74,62516441
2014;10;66,89334783
2014;11;33,80722464
2014;12;36,32304167
2015;1;50,65447723
2015;2;58,76800941
2015;3;90,89200397
2015;4;60,94851449
2015;5;90,82112455
2015;6;128,4547299
2015;7;134,9115361
2015;8;36,97311791
2015;9;29,76781447
2015;10;16,26031746
2015;11;25,49736842
2015;12;69,72508928
2016;1;109,9351324
2016;2;55,17684524
2016;3;73,20368375
2016;4;67,03026403
2016;5;122,2149385
2016;6;76,92020275
2016;7;48,33360153
2016;8;29,37849389
2016;9;30,04625239
2016;10;19,52549358
2016;12;11,07944444
2016;11;48,39907738
2017;1;25,20234645
2017;2;30,78596154
2017;3;54,90537575
2017;4;107,8974096
2017;5;209,089268
2017;6;152,4067928
2017;7;178,3977778
2017;8;68,7790686
2017;9;89,24542359
2017;10;30,98863665
2017;11;17,36439974
2017;12;32,76440972
2018;1;49,76007862
2018;2;93,95642857
2018;3;90,58068978
2018;4;144,913214
2018;5;92,83709734
2018;6;75,8960512
2018;7;67,42553377
2018;8;23,4120205
2018;9;18,89797222
2018;10;10,57630342
2018;11;24,37333334
2018;12;50,45217969
